[1/20] size=10 seed=0 warm=0.0s (elapsed 0s)
    RandomRoutePermutation                 propose     9.40us  apply     0.00us  actionable 100.0%
    ChangeRandomEndDepot                   propose     4.90us  apply     2.10us  actionable 100.0%
    SplitRandomRoute                       propose     6.50us  apply    13.40us  actionable  75.2%
    CombineRandomRoutes                    propose    96.60us  apply     8.20us  actionable 100.0%
[6/20] size=100 seed=0 warm=0.0s (elapsed 66s)
    RandomRouteReassignment                propose    10.30us  apply     6.70us  actionable  92.9%
    RandomCustomerReassignment             propose    12.30us  apply     3.90us  actionable  98.8%
    RandomCustomerChainReassignment        propose    13.50us  apply     4.60us  actionable  87.0%
    ReassignClosestChainWithRandomCustomer propose    12.90us  apply     3.90us  actionable  78.2%
    ReverseClosestPairTogether             propose     8.30us  apply     2.00us  actionable  79.9%
    RandomCustomerChainReversal            propose     3.70us  apply     1.90us  actionable 100.0%
    RandomCustomerSwap                     propose     9.50us  apply     2.40us  actionable 100.0%
    RandomSameLengthChainSwap              propose    13.40us  apply     3.90us  actionable  99.6%
    RandomChainSwap                        propose    15.00us  apply    10.10us  actionable  99.6%
    SwapRouteHeadsAtSharedDepot            propose    15.00us  apply    10.00us  actionable  99.6%
    SwapRouteTailsAtSharedDepot            propose    17.00us  apply    10.00us  actionable  99.4%
    CustomerBestOfkSwapInRandomRoute       propose   127.30us  apply     3.40us  actionable 100.0%
    RandomRoutePermutation                 propose    10.30us  apply     0.00us  actionable 100.0%
    ChangeRandomEndDepot                   propose     4.90us  apply     2.20us  actionable 100.0%
    SplitRandomRoute                       propose     6.60us  apply    14.60us  actionable 100.0%
    CombineRandomRoutes                    propose   112.10us  apply     9.50us  actionable 100.0%
[7/20] size=100 seed=1 warm=0.0s (elapsed 82s)
    RandomRouteReassignment                propose    10.50us  apply     6.90us  actionable  93.0%
    RandomCustomerReassignment             propose    12.40us  apply     3.80us  actionable  98.9%
    RandomCustomerChainReassignment        propose    13.80us  apply     4.50us  actionable  87.7%
    ReassignClosestChainWithRandomCustomer propose    13.20us  apply     3.80us  actionable  79.1%
    ReverseClosestPairTogether             propose     8.80us  apply     2.10us  actionable  79.2%
    RandomCustomerChainReversal            propose     3.70us  apply     1.90us  actionable 100.0%
    RandomCustomerSwap                     propose     9.70us  apply     2.40us  actionable 100.0%
    RandomSameLengthChainSwap              propose    14.80us  apply     4.40us  actionable  99.5%
    RandomChainSwap                        propose    15.60us  apply    10.10us  actionable  99.6%
    SwapRouteHeadsAtSharedDepot            propose    15.10us  apply     9.80us  actionable  99.7%
