[1/12] size=10 seed=0 warm=180.0s (elapsed 0s)
    RandomRoutePermutation                 propose    11.00us  apply     0.00us  actionable 100.0%
    ChangeRandomEndDepot                   propose     5.10us  apply     2.40us  actionable 100.0%
    SplitRandomRoute                       propose     6.80us  apply    15.00us  actionable  95.8%
    CombineRandomRoutes                    propose   113.30us  apply    10.60us  actionable 100.0%
[6/12] size=100 seed=2 warm=180.0s (elapsed 973s)
    RandomRouteReassignment                propose     9.90us  apply     4.60us  actionable  93.0%
    RandomCustomerReassignment             propose    12.30us  apply     3.80us  actionable  98.9%
    RandomCustomerChainReassignment        propose    13.70us  apply     4.60us  actionable  86.8%
    ReassignClosestChainWithRandomCustomer propose    13.10us  apply     4.00us  actionable  77.7%
    ReverseClosestPairTogether             propose     8.60us  apply     2.10us  actionable  78.8%
    RandomCustomerChainReversal            propose     3.80us  apply     1.90us  actionable  96.0%
    RandomCustomerSwap                     propose     9.70us  apply     2.40us  actionable  99.9%
    RandomSameLengthChainSwap              propose    13.50us  apply     3.80us  actionable  99.6%
    RandomChainSwap                        propose    15.40us  apply    10.10us  actionable  99.4%
    SwapRouteHeadsAtSharedDepot            propose    15.10us  apply    10.00us  actionable  99.6%
    SwapRouteTailsAtSharedDepot            propose    17.40us  apply     9.95us  actionable  99.4%
    CustomerBestOfkSwapInRandomRoute       propose   132.40us  apply     3.50us  actionable  96.0%
    RandomRoutePermutation                 propose    10.90us  apply     0.00us  actionable 100.0%
    ChangeRandomEndDepot                   propose     4.90us  apply     2.30us  actionable 100.0%
    SplitRandomRoute                       propose     6.90us  apply    15.00us  actionable  96.0%
    CombineRandomRoutes                    propose   113.80us  apply    10.90us  actionable 100.0%
[7/12] size=1000 seed=0 warm=180.0s (elapsed 1169s)
    RandomRouteReassignment                propose    10.80us  apply     7.00us  actionable  99.1%
    RandomCustomerReassignment             propose    13.10us  apply     3.90us  actionable  99.8%
    RandomCustomerChainReassignment        propose    15.00us  apply     4.60us  actionable  98.1%
    ReassignClosestChainWithRandomCustomer propose    14.40us  apply     4.00us  actionable  90.6%
    ReverseClosestPairTogether             propose     9.10us  apply     2.20us  actionable  90.3%
    RandomCustomerChainReversal            propose     3.90us  apply     2.00us  actionable  99.2%
    RandomCustomerSwap                     propose    11.00us  apply     2.60us  actionable 100.0%
    RandomSameLengthChainSwap              propose    15.40us  apply     4.70us  actionable  99.9%
    RandomChainSwap                        propose    16.80us  apply    10.30us  actionable  99.9%
    SwapRouteHeadsAtSharedDepot            propose    16.50us  apply    10.10us  actionable 100.0%
    SwapRouteTailsAtSharedDepot            propose    34.20us  apply    10.30us  actionable 100.0%
    CustomerBestOfkSwapInRandomRoute       propose   133.30us  apply     3.75us  actionable  99.2%
    RandomRoutePermutation                 propose    12.10us  apply     0.00us  actionable 100.0%
    ChangeRandomEndDepot                   propose     5.20us  apply     2.40us  actionable 100.0%
    SplitRandomRoute                       propose     7.20us  apply    15.30us  actionable  99.1%
    CombineRandomRoutes                    propose   120.90us  apply    11.10us  actionable 100.0%
[8/12] size=1000 seed=1 warm=180.0s (elapsed 1367s)
    RandomRouteReassignment                propose    10.60us  apply     5.00us  actionable  99.2%
    RandomCustomerReassignment             propose    13.10us  apply     3.90us  actionable  99.9%
    RandomCustomerChainReassignment        propose    15.20us  apply     4.70us  actionable  98.3%
    ReassignClosestChainWithRandomCustomer propose    14.10us  apply     4.00us  actionable  89.1%
    ReverseClosestPairTogether             propose     9.30us  apply     2.20us  actionable  88.9%
    RandomCustomerChainReversal            propose     3.90us  apply     2.00us  actionable 100.0%
    RandomCustomerSwap                     propose    10.90us  apply     2.60us  actionable 100.0%
    RandomSameLengthChainSwap              propose    15.30us  apply     4.60us  actionable  99.9%
    RandomChainSwap                        propose    16.90us  apply    10.30us  actionable 100.0%
    SwapRouteHeadsAtSharedDepot            propose    16.40us  apply    10.10us  actionable 100.0%
    SwapRouteTailsAtSharedDepot            propose    33.90us  apply    10.10us  actionable 100.0%
    CustomerBestOfkSwapInRandomRoute       propose   131.10us  apply     3.70us  actionable 100.0%
    RandomRoutePermutation                 propose    12.00us  apply     0.00us  actionable 100.0%
    ChangeRandomEndDepot                   propose     5.10us  apply     2.30us  actionable 100.0%
    SplitRandomRoute                       propose     7.20us  apply    15.10us  actionable 100.0%
    CombineRandomRoutes                    propose   119.40us  apply    11.10us  actionable 100.0%
[9/12] size=1000 seed=2 warm=180.0s (elapsed 1564s)
    RandomRouteReassignment                propose    10.80us  apply     6.90us  actionable  99.1%
    RandomCustomerReassignment             propose    13.00us  apply     3.80us  actionable  99.9%
    RandomCustomerChainReassignment        propose    15.10us  apply     4.60us  actionable  97.7%
    ReassignClosestChainWithRandomCustomer propose    14.10us  apply     4.00us  actionable  90.2%
    ReverseClosestPairTogether             propose     9.30us  apply     2.20us  actionable  89.9%
    RandomCustomerChainReversal            propose     4.00us  apply     2.00us  actionable  99.5%
    RandomCustomerSwap                     propose    10.80us  apply     2.60us  actionable 100.0%
    RandomSameLengthChainSwap              propose    15.30us  apply     4.70us  actionable  99.9%
    RandomChainSwap                        propose    17.40us  apply    10.40us  actionable  99.9%
    SwapRouteHeadsAtSharedDepot            propose    16.60us  apply    10.20us  actionable 100.0%
    SwapRouteTailsAtSharedDepot            propose    34.40us  apply    10.40us  actionable 100.0%
    CustomerBestOfkSwapInRandomRoute       propose   132.20us  apply     3.70us  actionable  99.5%
    RandomRoutePermutation                 propose    12.10us  apply     0.00us  actionable 100.0%
    ChangeRandomEndDepot                   propose     5.10us  apply     2.30us  actionable 100.0%
    SplitRandomRoute                       propose     7.20us  apply    15.20us  actionable  99.6%
    CombineRandomRoutes                    propose   120.30us  apply    11.10us  actionable 100.0%
[10/12] size=5000 seed=0 warm=180.0s (elapsed 1762s)
    RandomRouteReassignment                propose    11.80us  apply     7.00us  actionable  99.8%
    RandomCustomerReassignment             propose    14.20us  apply     3.90us  actionable 100.0%
    RandomCustomerChainReassignment        propose    16.60us  apply     4.60us  actionable  96.2%
    ReassignClosestChainWithRandomCustomer propose    15.80us  apply     4.00us  actionable  87.8%
    ReverseClosestPairTogether             propose    10.80us  apply     2.40us  actionable  88.3%
    RandomCustomerChainReversal            propose     4.80us  apply     2.20us  actionable  99.5%
    RandomCustomerSwap                     propose    12.40us  apply     2.80us  actionable 100.0%
    RandomSameLengthChainSwap              propose    17.50us  apply     4.90us  actionable 100.0%
    RandomChainSwap                        propose    19.00us  apply    10.50us  actionable 100.0%
    SwapRouteHeadsAtSharedDepot            propose    18.30us  apply    10.20us  actionable 100.0%
    SwapRouteTailsAtSharedDepot            propose   115.95us  apply    10.90us  actionable 100.0%
    CustomerBestOfkSwapInRandomRoute       propose   136.75us  apply     3.80us  actionable  99.6%
    RandomRoutePermutation                 propose    14.20us  apply     0.00us  actionable 100.0%
    ChangeRandomEndDepot                   propose     6.20us  apply     2.40us  actionable 100.0%
    SplitRandomRoute                       propose     8.40us  apply    15.80us  actionable  99.5%
    CombineRandomRoutes                    propose   131.10us  apply    11.70us  actionable 100.0%
[11/12] size=5000 seed=1 warm=180.0s (elapsed 1971s)
    RandomRouteReassignment                propose    11.60us  apply     6.80us  actionable  99.8%
    RandomCustomerReassignment             propose    14.50us  apply     3.90us  actionable 100.0%
    RandomCustomerChainReassignment        propose    16.50us  apply     4.60us  actionable  97.7%
    ReassignClosestChainWithRandomCustomer propose    15.90us  apply     4.00us  actionable  89.1%
    ReverseClosestPairTogether             propose    10.80us  apply     2.40us  actionable  89.6%
    RandomCustomerChainReversal            propose     4.90us  apply     2.20us  actionable  99.6%
    RandomCustomerSwap                     propose    12.50us  apply     2.80us  actionable 100.0%
    RandomSameLengthChainSwap              propose    17.40us  apply     5.00us  actionable 100.0%
    RandomChainSwap                        propose    19.20us  apply    10.50us  actionable 100.0%
    SwapRouteHeadsAtSharedDepot            propose    18.50us  apply    10.20us  actionable 100.0%
    SwapRouteTailsAtSharedDepot            propose   113.30us  apply    10.90us  actionable 100.0%
    CustomerBestOfkSwapInRandomRoute       propose   135.60us  apply     3.80us  actionable  99.6%
    RandomRoutePermutation                 propose    14.30us  apply     0.00us  actionable 100.0%
    ChangeRandomEndDepot                   propose     5.90us  apply     2.40us  actionable 100.0%
    SplitRandomRoute                       propose     8.30us  apply    15.50us  actionable  99.7%
    CombineRandomRoutes                    propose   131.20us  apply    11.60us  actionable 100.0%
[12/12] size=5000 seed=2 warm=180.0s (elapsed 2180s)
    RandomRouteReassignment                propose    11.70us  apply     5.00us  actionable  99.8%
    RandomCustomerReassignment             propose    14.90us  apply     4.00us  actionable 100.0%
    RandomCustomerChainReassignment        propose    16.65us  apply     4.70us  actionable  97.0%
    ReassignClosestChainWithRandomCustomer propose    16.10us  apply     4.10us  actionable  89.1%
    ReverseClosestPairTogether             propose    10.70us  apply     2.40us  actionable  89.5%
    RandomCustomerChainReversal            propose     5.10us  apply     2.30us  actionable  99.8%
    RandomCustomerSwap                     propose    12.70us  apply     2.80us  actionable 100.0%
    RandomSameLengthChainSwap              propose    17.60us  apply     5.00us  actionable 100.0%
    RandomChainSwap                        propose    19.10us  apply    10.50us  actionable 100.0%
    SwapRouteHeadsAtSharedDepot            propose    18.10us  apply    10.20us  actionable 100.0%
    SwapRouteTailsAtSharedDepot            propose   115.20us  apply    10.90us  actionable 100.0%
    CustomerBestOfkSwapInRandomRoute       propose   136.10us  apply     3.80us  actionable  99.8%
    RandomRoutePermutation                 propose    13.80us  apply     0.00us  actionable 100.0%
    ChangeRandomEndDepot                   propose     5.90us  apply     2.40us  actionable 100.0%
    SplitRandomRoute                       propose     8.40us  apply    15.60us  actionable  99.8%
    CombineRandomRoutes                    propose   130.30us  apply    11.70us  actionable 100.0%

Wrote tools/profile_warm.json in 2388.5s across 12 cells.
No findings: every apply/revert round trip restored the solution exactly.
